Bug-ID,MAJOR fault-revealed,MAJOR # revealing mutants,MAJOR # mutants,PIT fault-revealed,PIT # revealing mutants,PIT # mutants,Total # revealing mutants
Math-96f,False,0,484,False,0,2026,0
Math-97f,True,12,364,True,48,1576,60
Math-98f,True,1,1991,True,8,9244,9
Math-99f,True,6,1197,True,29,4603,35
Math-9f,False,0,92,False,0,354,0
Mockito-17f,False,0,53,True,5,238,5
Mockito-29f,True,1,9,True,1,45,2
Mockito-37f,True,3,32,True,7,131,10
Time-11f,False,0,552,False,0,1413,0
Time-13f,True,6,1319,False,0,937,6
Time-15f,True,1,277,True,13,1192,14
Time-1f,True,6,415,True,17,1740,23
Time-22f,False,0,185,False,0,927,0
Time-24f,True,4,222,True,12,765,16
Time-27f,True,1,1294,False,0,937,1
Time-2f,True,3,397,True,2,1673,5
Time-5f,True,5,551,True,3,2979,8
