Bug-ID,Increments-Revealing,Increments-Non-Revealing,Increments-No-Coverage,InvertNegs-Revealing,InvertNegs-Non-Revealing,InvertNegs-No-Coverage,ReturnVals-Revealing,ReturnVals-Non-Revealing,ReturnVals-No-Coverage,VoidMethodCall-Revealing,VoidMethodCall-Non-Revealing,VoidMethodCall-No-Coverage,PrimitiveReturns-Revealing,PrimitiveReturns-Non-Revealing,PrimitiveReturns-No-Coverage,ConstructorCall-Revealing,ConstructorCall-Non-Revealing,ConstructorCall-No-Coverage,NonVoidMethodCall-Revealing,NonVoidMethodCall-Non-Revealing,NonVoidMethodCall-No-Coverage,RemoveConditional-Revealing,RemoveConditional-Non-Revealing,RemoveConditional-No-Coverage,ABS-Revealing,ABS-Non-Revealing,ABS-No-Coverage,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,AOD-Revealing,AOD-Non-Revealing,AOD-No-Coverage,CRCR-Revealing,CRCR-Non-Revealing,CRCR-No-Coverage,OBBN-Revealing,OBBN-Non-Revealing,OBBN-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,UOI-Revealing,UOI-Non-Revealing,UOI-No-Coverage,BooleanTrueReturnVals-Revealing,BooleanTrueReturnVals-Non-Revealing,BooleanTrueReturnVals-No-Coverage,BooleanFalseReturnVals-Revealing,BooleanFalseReturnVals-Non-Revealing,BooleanFalseReturnVals-No-Coverage,ArgumentPropagation-Revealing,ArgumentPropagation-Non-Revealing,ArgumentPropagation-No-Coverage,NullReturnVals-Revealing,NullReturnVals-Non-Revealing,NullReturnVals-No-Coverage,NakedReceiver-Revealing,NakedReceiver-Non-Revealing,NakedReceiver-No-Coverage,MemberVariable-Revealing,MemberVariable-Non-Revealing,MemberVariable-No-Coverage,EmptyObjectReturnVals-Revealing,EmptyObjectReturnVals-Non-Revealing,EmptyObjectReturnVals-No-Coverage,RemoveIncrements-Revealing,RemoveIncrements-Non-Revealing,RemoveIncrements-No-Coverage,Switch-Revealing,Switch-Non-Revealing,Switch-No-Coverage,RemoveSwitch-Revealing,RemoveSwitch-Non-Revealing,RemoveSwitch-No-Coverage,BigInteger-Revealing,BigInteger-Non-Revealing,BigInteger-No-Coverage
Lang-36f,0,10,0,0,0,0,2,99,0,0,0,0,0,51,1,0,34,0,3,85,9,15,299,34,1,237,27,0,44,20,0,21,11,49,494,127,0,0,0,30,566,154,14,813,233,1,17,1,1,5,0,0,17,0,1,13,0,0,5,9,0,0,0,0,8,0,0,1,3,0,1,0,0,6,0,0,0,0
Lang-37f,0,29,0,0,0,0,0,342,0,0,34,0,0,91,2,2,14,0,6,216,11,1,765,40,0,511,15,0,234,6,0,117,3,0,1210,98,0,0,0,3,1158,186,0,1687,417,0,30,0,0,20,0,0,87,2,0,154,0,0,16,19,0,0,0,0,3,0,0,26,3,0,0,0,0,0,0,0,0,0
Lang-41f,0,2,1,0,0,0,0,70,6,0,1,1,0,0,0,0,10,4,14,128,32,11,167,32,0,20,9,9,15,4,5,6,3,67,231,56,0,0,0,24,267,106,0,87,29,0,19,2,0,5,1,1,26,3,0,10,4,5,15,10,0,0,0,0,27,1,0,1,0,0,0,0,0,0,0,0,0,0
Lang-45f,0,7,0,0,0,0,0,24,0,0,0,0,0,0,0,0,6,0,1,77,3,1,94,9,0,82,11,0,34,6,0,15,5,0,138,54,0,0,0,1,164,43,0,296,76,0,2,0,0,2,0,0,15,3,0,0,0,0,30,0,0,0,0,0,19,0,0,3,3,0,0,0,0,0,0,0,0,0
Lang-46f,0,3,0,0,0,0,0,22,6,0,45,19,0,0,0,0,16,5,0,44,20,1,81,6,0,23,14,0,11,9,0,4,6,8,251,118,0,0,0,1,107,24,2,96,50,0,0,0,0,0,0,0,6,2,0,0,0,0,9,8,0,0,0,0,22,6,0,0,1,0,3,0,0,11,8,0,0,0
Lang-49f,0,1,1,0,13,3,0,56,1,0,0,0,0,17,0,0,34,2,0,104,1,1,174,12,1,236,26,0,229,19,0,116,8,0,472,47,0,15,0,1,401,36,0,970,82,0,2,0,0,1,0,0,35,0,0,31,1,0,36,2,0,13,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,0
Lang-52f,0,2,0,0,0,0,0,18,4,2,37,13,0,0,0,0,15,3,0,35,12,0,62,2,0,22,9,0,3,9,0,0,6,12,192,90,0,0,0,0,72,12,0,90,34,0,0,0,0,0,0,0,6,1,0,0,0,0,10,4,0,0,0,0,18,4,0,0,1,0,3,0,1,9,9,0,0,0
Lang-54f,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,14,5,2,44,25,1,39,26,1,11,6,0,0,0,0,0,0,23,149,37,0,0,0,0,91,46,2,28,42,0,1,0,0,1,0,0,3,5,1,3,0,2,5,10,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Lang-57f,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,14,5,0,41,28,0,39,25,0,11,6,0,0,0,0,0,0,0,145,42,0,0,0,0,79,53,0,22,46,0,1,0,0,1,0,0,3,5,0,3,0,0,5,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-58f,0,10,0,0,0,0,0,119,10,0,0,0,0,39,11,0,34,0,1,77,19,1,346,69,0,252,47,0,45,19,0,20,12,0,610,224,0,0,0,1,644,211,0,822,374,0,33,2,0,17,0,0,7,9,0,9,5,0,5,9,0,0,0,0,8,0,0,1,3,0,1,0,0,6,0,0,0,0
Lang-5f,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,2,29,2,8,60,37,9,43,18,6,10,4,0,0,0,0,0,0,59,165,12,0,0,0,14,85,52,8,34,38,0,1,0,0,1,0,0,3,6,2,4,0,3,7,22,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lang-62f,0,3,1,0,0,0,0,5,0,0,19,2,0,1,0,0,3,0,0,57,3,2,56,4,2,64,2,0,19,5,0,9,3,10,311,34,0,0,0,3,117,27,1,193,78,0,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,1,0,0,4,0,0,0,2,0,1,0,0,2,0,0,0,0
Lang-65f,0,6,2,0,0,0,0,21,6,0,22,2,0,0,0,0,31,1,0,72,31,0,120,42,0,80,13,0,50,2,0,24,2,0,504,192,0,0,0,0,234,75,0,315,57,0,3,2,0,1,0,0,32,19,0,18,4,0,10,4,0,0,0,0,0,0,0,5,2,0,3,0,0,11,1,0,0,0
Lang-7f,0,10,1,0,0,0,3,97,1,0,0,0,0,49,3,0,38,0,2,96,13,3,321,38,0,238,31,0,46,22,0,23,11,8,545,129,0,0,0,6,612,167,1,813,262,0,19,0,0,6,0,0,17,0,3,11,1,0,5,14,0,0,0,0,8,0,0,1,4,0,1,0,0,6,0,0,0,0
Lang-8f,0,5,2,0,0,0,0,22,2,0,6,0,0,1,1,0,29,0,0,72,8,1,70,7,0,68,9,0,20,16,0,10,8,2,290,50,0,0,0,0,152,31,1,255,52,0,2,0,0,0,0,0,12,0,0,8,4,0,15,2,0,5,0,0,8,0,0,4,2,0,2,0,0,55,31,0,0,0
Math-101f,0,1,0,0,1,0,0,21,2,0,16,2,0,1,0,0,13,0,0,79,3,1,48,3,1,40,8,0,15,1,0,8,0,0,102,16,0,0,0,1,86,19,1,123,72,0,0,0,0,0,0,0,6,0,0,14,2,0,12,3,0,3,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0
Math-102f,0,6,0,0,0,0,0,18,0,0,6,0,0,6,0,0,17,0,0,27,0,0,92,0,0,137,0,0,175,1,0,86,2,0,337,2,0,0,0,0,230,0,0,538,10,0,7,0,0,4,0,0,5,0,0,1,0,0,6,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Math-103f,0,0,0,0,0,0,2,9,0,0,2,0,1,9,0,0,1,0,0,9,1,2,15,1,3,20,3,8,31,5,3,15,4,7,77,25,0,0,0,4,37,4,12,64,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-104f,0,1,0,0,2,0,0,5,0,0,0,0,0,5,0,0,2,0,0,19,0,0,40,0,0,75,4,0,120,0,0,60,0,0,135,8,0,0,0,0,93,7,0,275,41,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Math-105f,0,0,0,0,1,0,0,22,0,0,1,0,0,21,0,0,1,0,0,29,0,0,15,3,0,73,2,0,215,1,0,108,0,2,180,23,0,0,0,0,39,6,0,257,43,0,0,0,0,0,0,1,10,1,0,1,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-106f,0,0,0,0,0,0,1,10,0,1,9,3,0,0,0,0,3,0,2,29,1,2,14,0,0,14,8,0,19,1,0,10,0,0,11,8,0,0,0,0,20,0,2,52,34,0,0,0,0,0,0,0,6,0,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Math-11f,0,7,0,0,0,0,0,6,0,0,2,0,0,2,0,0,8,0,0,25,0,0,28,0,0,53,10,0,32,0,0,16,0,0,68,8,0,0,0,0,58,12,1,202,49,0,0,0,0,0,0,0,8,2,0,4,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Math-13f,0,4,1,0,0,0,0,13,4,0,1,1,0,3,1,0,12,3,0,40,12,1,16,5,0,51,15,0,13,15,0,7,7,0,79,35,0,0,0,3,34,18,0,177,87,0,0,0,0,0,0,0,8,6,0,9,4,0,4,1,0,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Math-14f,0,3,0,0,0,0,0,11,1,0,2,0,0,3,0,0,7,0,0,31,2,0,15,1,0,26,2,0,10,2,0,6,0,2,14,0,0,0,0,0,32,8,1,95,16,0,0,0,0,0,0,0,7,1,0,8,1,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-17f,0,42,46,0,4,6,0,26,120,0,9,34,0,7,22,0,2,8,0,88,268,0,317,401,0,352,357,0,699,493,0,349,247,0,1347,2195,0,3,33,0,779,1012,0,1463,1373,0,4,19,0,0,0,0,27,118,0,10,69,0,22,187,0,27,96,0,2,5,0,32,43,0,3,2,0,12,14,0,0,0
Math-1f,0,3,0,0,11,2,0,82,1,0,2,1,0,20,0,0,62,0,0,207,12,4,186,8,2,284,39,0,207,17,0,105,7,4,468,96,0,19,2,2,410,40,16,1060,224,0,3,0,0,2,0,1,78,2,0,56,0,0,76,2,0,22,0,0,2,0,0,3,0,0,0,0,0,0,0,0,42,1
Math-21f,0,9,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,4,0,0,27,1,1,119,10,0,37,7,0,18,4,0,45,14,0,0,0,1,56,13,6,418,96,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Math-23f,0,1,0,0,7,0,0,5,1,0,0,0,0,0,0,0,4,0,0,26,2,0,74,0,0,157,1,0,164,0,0,82,0,0,92,1,0,0,0,0,167,2,0,625,7,0,0,0,0,0,0,0,12,0,0,5,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Math-24f,0,1,0,0,7,0,0,5,1,0,0,0,0,0,0,0,4,0,0,24,2,1,72,1,0,153,3,0,164,0,0,82,0,0,82,11,0,0,0,2,163,4,1,593,30,0,0,0,0,0,0,0,10,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Math-25f,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-26f,0,1,0,0,5,2,0,32,0,0,0,0,0,8,0,0,23,0,0,59,6,0,92,1,0,184,17,0,137,7,0,69,3,0,299,35,0,3,0,0,217,2,0,744,60,0,2,0,0,1,0,0,30,0,0,19,0,0,15,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0
Math-27f,0,1,0,0,5,2,0,32,0,0,0,0,0,8,0,0,23,0,0,56,6,0,92,1,0,182,19,0,138,6,0,69,3,0,297,37,0,3,0,0,216,3,0,736,68,0,2,0,0,1,0,0,27,0,0,19,0,0,15,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,0
Math-28f,0,4,0,0,0,0,0,6,0,0,7,0,0,0,0,0,5,0,1,45,9,1,38,9,0,37,6,3,17,4,1,8,3,2,53,24,0,0,0,1,73,34,4,84,84,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0
Math-29f,0,5,0,0,1,0,0,48,1,1,47,4,0,15,1,0,17,0,4,181,8,3,127,13,1,122,28,0,123,21,0,60,12,0,193,62,0,0,0,9,273,74,4,423,177,0,9,0,0,4,0,0,14,2,0,21,0,0,10,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-2f,0,0,0,0,0,0,0,16,0,0,0,0,0,14,0,0,6,0,0,30,6,0,26,0,0,92,9,0,95,1,0,48,0,0,101,23,0,0,0,0,62,3,0,299,105,0,0,0,0,1,0,0,10,0,0,1,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-32f,0,8,2,0,0,0,0,6,0,0,9,4,0,0,0,0,21,0,1,49,13,1,51,4,0,52,12,0,77,19,0,39,9,6,202,68,0,0,0,0,85,15,2,178,76,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,2,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0
Math-35f,0,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,2,0,0,7,4,0,6,0,0,11,1,0,8,0,0,4,0,0,15,20,0,0,0,0,14,1,0,33,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-36f,0,2,0,0,6,0,0,51,0,0,3,0,0,11,1,0,38,0,12,130,8,2,87,6,4,101,13,16,59,5,8,29,3,9,173,44,0,17,1,6,187,19,7,347,118,0,1,0,0,1,0,2,46,1,0,37,0,4,58,1,0,14,0,0,1,0,0,2,0,0,0,0,0,0,0,4,30,3
Math-37f,0,1,0,0,6,0,0,93,3,0,5,0,0,9,2,0,6,0,0,161,1,0,169,0,0,212,3,0,355,5,0,178,2,0,259,16,0,0,0,0,420,1,0,856,4,0,5,0,0,4,0,0,62,1,0,75,0,0,65,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-3f,0,20,0,0,0,0,1,48,0,0,10,0,1,11,0,0,22,2,0,59,7,1,228,3,3,618,67,4,1225,35,2,602,28,12,574,127,0,0,0,0,441,63,8,2141,603,0,18,0,0,7,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,4,0,0,0,0
Math-40f,0,11,0,0,0,0,0,13,0,0,8,0,0,13,0,0,4,1,0,28,6,0,58,2,1,177,9,3,218,11,1,113,2,1,417,66,0,0,0,0,132,18,2,603,143,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,6,0,1,0,0,5,0,0,0,0
Math-42f,0,12,0,0,0,0,0,25,2,0,22,0,0,13,1,0,13,0,0,146,9,2,103,14,0,108,20,0,132,0,0,66,0,0,319,33,0,0,0,1,194,57,0,370,142,0,3,0,0,1,1,0,4,0,0,5,0,0,10,4,0,12,0,0,3,0,0,7,1,0,0,0,0,0,0,0,0,0
Math-43f,0,0,0,0,0,0,0,27,0,0,36,4,0,13,0,0,17,0,0,94,19,0,53,4,0,14,10,0,11,61,0,2,34,0,59,60,0,0,0,0,74,15,2,46,48,0,2,0,0,1,0,0,1,0,0,10,0,0,37,1,0,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-44f,0,0,0,0,0,0,0,10,1,4,21,5,0,7,1,0,12,0,5,26,8,2,22,6,4,26,10,0,7,1,1,3,0,23,61,22,0,0,0,15,51,9,33,84,43,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,2,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-45f,0,2,0,0,0,0,0,12,1,0,19,0,0,4,0,1,8,0,0,44,5,1,17,6,4,81,13,3,76,5,2,37,3,0,28,16,0,0,0,1,50,9,0,301,91,0,0,0,0,0,0,0,14,0,0,8,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-46f,0,1,0,0,4,0,0,82,2,0,5,0,0,10,1,0,6,0,0,147,2,0,143,0,0,180,3,0,307,5,0,154,2,0,190,11,0,0,0,0,356,0,0,725,7,0,5,0,0,4,0,0,60,1,0,63,0,0,58,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-47f,0,1,0,0,4,0,0,81,3,0,5,0,0,9,2,0,6,0,0,147,2,0,147,0,0,180,3,0,307,5,0,154,2,0,183,18,0,0,0,0,365,1,0,722,10,0,5,0,0,4,0,0,60,1,0,63,0,0,58,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-49f,0,4,0,0,2,0,0,58,1,0,65,4,0,18,1,0,21,0,0,207,7,0,144,7,0,154,28,0,160,28,0,80,14,0,219,61,0,0,0,0,303,73,0,544,184,0,9,0,0,4,0,0,17,2,0,28,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-4f,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,31,0,0,75,2,2,40,2,0,3,5,0,8,0,0,4,0,0,48,9,0,0,0,0,50,12,0,20,12,0,0,0,0,0,0,0,2,0,0,7,0,0,3,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-50f,0,0,0,0,0,0,0,16,0,0,1,0,0,16,0,0,0,3,0,18,0,0,30,0,0,81,0,0,60,0,0,30,0,0,57,0,0,0,0,0,74,1,0,317,7,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,0
Math-52f,0,1,0,0,24,1,0,30,0,0,0,0,0,8,0,0,26,0,0,229,3,0,122,0,0,561,0,0,1756,0,0,877,1,0,2025,64,0,0,0,0,245,16,0,2201,43,0,0,0,0,0,0,0,83,0,0,22,0,0,14,0,0,39,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Math-53f,0,1,0,0,4,0,0,68,3,0,5,0,0,9,2,0,3,0,0,135,1,0,117,0,0,157,3,0,291,5,0,146,2,0,177,16,0,0,0,0,290,1,0,629,11,0,5,0,0,4,0,0,60,1,0,50,0,0,52,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-55f,0,0,0,0,12,0,0,35,3,0,0,0,0,17,2,0,13,0,0,60,6,0,47,2,0,282,5,0,664,20,0,332,10,0,139,29,0,0,0,0,116,5,0,1092,56,0,5,0,0,1,1,0,36,3,0,12,0,0,1,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-56f,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,0,6,0,0,7,7,0,22,2,0,61,7,3,37,4,0,19,3,1,55,13,0,0,0,1,54,5,4,215,53,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,5,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
Math-58f,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-5f,0,1,0,0,6,0,0,93,3,0,5,0,0,9,2,0,6,0,0,161,1,0,169,0,0,210,5,0,355,5,0,178,2,0,259,16,0,0,0,0,420,1,0,853,7,0,5,0,0,4,0,0,62,1,0,75,0,0,65,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-61f,0,0,0,0,2,0,0,9,0,0,0,0,0,7,0,0,2,0,0,10,1,0,11,1,0,27,3,0,20,0,0,10,0,0,87,11,0,0,0,1,26,3,1,97,22,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-62f,0,1,0,0,0,0,2,4,0,0,3,2,0,2,0,0,3,0,0,6,2,1,6,1,5,17,6,9,14,9,3,7,6,5,22,8,0,0,0,1,6,5,34,36,42,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-63f,0,16,1,0,8,5,0,98,0,0,4,0,0,76,0,0,10,1,0,161,53,0,366,52,4,426,217,0,478,106,0,232,60,1,1385,455,0,47,1,0,835,178,1,1657,930,0,12,0,0,3,0,0,81,7,0,4,0,0,7,0,0,0,0,0,0,0,0,6,0,0,2,0,0,10,0,0,5,0
Math-64f,0,44,1,0,4,1,0,3,0,0,14,3,0,0,0,0,5,2,0,27,12,0,168,36,0,572,93,0,548,32,0,273,17,0,485,187,0,0,0,0,357,145,0,2138,522,0,0,0,0,0,0,0,24,6,0,3,0,0,0,0,0,18,8,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0
Math-66f,0,0,0,0,6,0,0,2,0,0,6,0,0,2,0,0,2,0,0,15,2,1,55,0,2,137,2,6,158,0,1,81,0,3,100,0,0,0,0,3,133,0,14,542,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-67f,0,4,2,0,0,0,3,8,1,0,8,1,3,6,1,0,0,1,0,16,2,3,17,14,11,49,34,18,45,5,10,19,5,18,82,81,0,0,0,3,31,35,94,180,102,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,9,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Math-68f,0,43,1,0,4,1,0,3,0,0,14,1,0,0,0,0,4,2,0,27,12,0,166,34,0,562,94,0,548,32,0,273,17,0,480,186,0,0,0,0,354,142,0,2105,519,0,0,0,0,0,0,0,23,7,0,3,0,0,0,0,0,20,3,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0
Math-6f,1,90,4,2,4,5,3,42,4,5,26,16,3,5,1,1,59,10,30,282,107,26,328,190,85,855,432,133,620,695,76,274,374,119,969,1014,0,0,0,66,631,563,228,3460,1800,0,0,1,0,0,1,32,58,66,1,32,2,25,20,25,10,59,51,0,0,4,1,1,35,0,1,0,0,2,0,0,0,0
Math-70f,0,1,0,0,0,0,0,4,0,0,2,1,0,4,0,0,1,0,0,8,0,0,6,0,0,26,1,0,7,1,0,4,0,0,30,2,0,0,0,0,14,1,0,76,32,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-71f,0,11,0,0,1,1,0,5,0,3,21,20,0,5,0,0,2,0,0,15,22,0,40,50,0,100,126,0,96,112,0,49,55,24,239,134,0,0,0,0,79,134,8,371,525,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,2,16,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Math-73f,0,1,0,0,2,0,0,11,0,0,6,5,0,10,1,0,1,0,1,29,9,2,48,4,4,127,43,5,151,8,2,76,4,18,165,52,0,0,0,4,108,23,3,497,196,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-75f,0,0,0,0,0,0,0,36,3,0,6,0,0,27,2,0,4,0,0,94,3,0,38,9,0,23,5,0,22,6,0,10,4,0,101,38,0,0,0,0,67,17,0,54,58,0,3,1,0,1,1,0,7,0,0,1,0,0,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-77f,0,15,0,0,2,0,0,153,4,0,109,7,0,39,3,0,36,1,0,324,20,0,302,26,0,474,60,0,366,46,0,184,22,0,653,181,0,0,0,0,622,171,1,1686,449,0,17,0,0,8,1,0,57,2,0,90,0,0,18,0,0,37,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
Math-78f,0,0,2,0,1,0,0,11,0,0,4,1,0,4,0,0,2,1,1,16,6,2,37,21,8,47,23,6,34,20,5,17,8,4,128,82,0,0,0,8,85,49,7,201,104,0,5,0,0,1,0,0,10,4,0,1,0,0,0,0,1,22,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Math-79f,0,15,0,0,5,3,0,92,0,0,3,0,0,78,0,0,14,0,0,136,38,0,280,50,0,382,125,0,400,44,0,200,22,0,1090,387,0,65,1,0,654,155,0,1397,631,0,6,0,0,1,0,0,69,8,0,4,0,0,7,0,0,0,0,0,0,0,0,4,0,0,1,0,0,8,0,0,5,0
Math-7f,0,0,0,0,0,0,0,7,4,0,22,9,0,5,3,0,12,0,0,29,12,0,33,5,0,26,18,0,7,1,0,4,0,0,104,28,0,0,0,0,81,14,2,102,72,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,12,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-80f,0,28,18,0,0,11,0,16,6,0,17,8,0,3,5,0,8,2,0,36,98,0,68,294,0,305,1229,0,542,2854,0,151,1547,0,511,3225,0,0,0,0,140,733,0,993,5143,0,1,1,0,1,1,0,4,101,0,9,0,0,0,0,0,16,112,0,1,0,0,2,19,0,1,1,0,1,5,0,0,0
Math-83f,0,9,0,0,0,0,0,28,2,0,12,0,0,14,2,0,7,0,2,99,8,2,79,8,0,100,15,4,150,6,2,74,4,11,269,40,0,0,0,2,140,39,3,364,93,0,3,0,0,0,1,0,0,1,0,5,0,0,3,0,0,10,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0
Math-85f,0,1,0,0,0,0,0,5,0,0,2,1,0,3,0,0,0,1,1,14,13,1,17,4,2,28,20,2,20,2,3,8,1,7,61,76,0,0,0,3,35,9,1,88,111,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Math-86f,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,11,2,0,22,0,0,50,3,0,40,0,0,20,0,0,47,1,0,0,0,0,40,7,5,179,28,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Math-87f,0,9,0,0,0,0,0,25,2,0,12,0,0,13,2,0,7,0,0,97,9,0,80,7,1,93,17,0,151,9,2,74,4,2,265,40,0,0,0,0,138,38,1,349,94,0,3,0,0,0,1,0,1,0,0,5,0,0,2,1,0,10,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0
Math-89f,0,0,0,0,0,0,0,28,0,0,6,0,0,22,2,1,5,0,0,85,0,1,31,2,0,22,4,0,20,0,0,10,0,0,70,4,0,0,0,1,56,12,0,54,50,0,0,0,0,0,0,0,7,0,0,1,0,0,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Math-90f,0,0,0,0,0,0,0,28,0,0,6,0,0,22,2,0,5,0,0,85,0,0,30,2,0,22,4,0,20,0,0,10,0,0,70,4,0,0,0,0,53,11,0,54,50,0,0,0,0,0,0,0,7,0,0,1,0,0,9,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
