Bug-ID,AOR-Revealing,AOR-Non-Revealing,AOR-No-Coverage,LOR-Revealing,LOR-Non-Revealing,LOR-No-Coverage,COR-Revealing,COR-Non-Revealing,COR-No-Coverage,ROR-Revealing,ROR-Non-Revealing,ROR-No-Coverage,SOR-Revealing,SOR-Non-Revealing,SOR-No-Coverage,ORU-Revealing,ORU-Non-Revealing,ORU-No-Coverage,EVR-Revealing,EVR-Non-Revealing,EVR-No-Coverage,LVR-Revealing,LVR-Non-Revealing,LVR-No-Coverage,STD-Revealing,STD-Non-Revealing,STD-No-Coverage
Math-27f,0,113,11,0,2,0,0,32,6,0,89,29,0,0,0,0,12,4,0,0,0,0,127,21,0,22,3
Math-28f,3,17,4,0,0,0,0,7,3,3,30,18,0,0,0,0,0,0,0,0,0,0,29,11,0,14,1
Math-29f,0,103,21,0,0,4,2,38,10,1,55,8,0,0,4,0,1,0,0,0,0,0,57,7,1,68,8
Math-2f,0,88,0,0,0,0,0,4,2,0,36,0,0,0,0,0,0,0,0,0,0,0,44,3,0,3,1
Math-32f,0,73,11,0,0,6,2,26,2,0,36,14,0,0,0,0,4,2,0,0,0,2,65,18,0,39,6
Math-35f,0,8,0,0,0,0,0,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,6,6,0,5,0
Math-36f,16,54,14,0,10,0,2,42,8,0,57,13,0,3,1,0,12,0,0,0,0,0,109,13,2,34,0
Math-37f,0,355,5,0,0,0,0,131,15,3,54,7,0,0,0,0,10,0,0,0,0,0,105,5,0,8,1
Math-3f,4,1149,43,0,8,0,0,61,3,1,201,42,0,0,0,0,0,0,0,0,0,6,185,11,0,49,3
Math-40f,4,209,15,0,0,0,0,22,4,0,52,20,0,4,0,0,0,0,0,0,0,0,148,25,0,42,3
Math-42f,0,128,0,0,0,16,1,47,20,1,71,30,0,0,0,0,0,0,0,0,0,1,140,13,0,44,3
Math-43f,0,7,61,0,0,0,0,26,2,0,19,7,0,0,0,0,0,0,0,0,0,0,16,18,0,79,12
Math-44f,0,10,2,0,0,0,0,14,6,0,9,3,0,0,0,0,2,0,0,0,0,1,24,5,1,37,11
Math-45f,3,76,5,0,0,0,0,1,1,1,12,8,0,0,0,0,0,0,0,0,0,0,12,3,0,25,2
Math-46f,0,307,5,0,0,0,1,110,19,0,35,8,0,0,0,0,4,0,0,0,0,0,72,4,0,8,1
Math-47f,0,307,5,0,0,0,1,122,11,0,38,5,0,0,0,0,4,0,0,0,0,0,72,4,0,8,1
Math-49f,0,132,28,0,0,4,0,42,2,0,61,12,0,0,4,0,2,0,0,0,0,0,69,7,0,89,8
Math-4f,0,8,0,0,0,0,0,22,2,2,20,5,0,0,0,0,1,1,0,0,0,0,8,3,0,2,0
Math-50f,0,51,1,0,0,0,0,8,0,0,23,7,0,0,0,0,0,0,0,0,0,0,20,1,0,11,1
Math-52f,0,1723,21,0,0,0,0,62,16,1,113,44,0,0,0,0,39,3,0,0,0,0,658,26,0,44,4
